instrument,date,dow,day_open,day_close,day_high,day_low,prev_close,pdh,pdl,gap_pct,gap_type,gap_bucket,inside_day,outside_day,prev_inside,broke_pdh,broke_pdl,broke_pd_both,broke_pd_none,broke_pd_first,first15_bull,first30_bull,first60_bull,orb_high,orb_low,orb_range,orb_close,orb_close_above_mid,orb_close_loc,orb_first_side,orb_high_break,orb_low_break,orb_both_break,orb_one_side,orb_no_break,orb_break_first,orb_break_count,orb_up_ext,orb_dn_ext,orb_up_retr,orb_dn_retr,ib_high,ib_low,ib_range,ib_close,ib_close_above_mid,ib_close_loc,ib_first_side,ib_high_break,ib_low_break,ib_both_break,ib_one_side,ib_no_break,ib_break_first,ib_break_count,ib_up_ext,ib_dn_ext,ib_up_retr,ib_dn_retr
NIFTY 50,2015-01-28,Wednesday,8902.75,8920.0,8985.05,8874.2,8910.400390625,8924.9501953125,8825.5498046875,-0.0860000029206276,Flat,0 to -0.2%,False,False,False,True,False,False,False,pdh,True,False,True,8909.35,8892.65,16.7,8904.7,True,0.7216,high,True,True,True,False,False,high,2,4.5332,1.1049,2.1048998832702637,5.533199787139893,8917.95,8889.35,28.6,8909.15,True,0.6923,high,True,True,True,False,False,high,2,2.346100091934204,0.529699981212616,1.5297000408172607,1.2028000354766846
NIFTY 50,2015-01-29,Thursday,8901.5,8953.2,8966.2,8861.65,8920.0,8985.0498046875,8874.2001953125,-0.2070000022649765,Gap Down,-0.2% to -0.5%,False,False,False,False,True,False,False,pdl,False,False,False,8901.5,8862.15,39.35,8870.65,False,0.216,high,True,True,True,False,False,low,2,1.6442,0.0127,0.7662000060081482,2.644200086593628,8901.5,8861.65,39.85,8873.4,False,0.2949,high,True,False,False,True,False,high,1,1.6236000061035156,-0.04390000179409981,0.756600022315979,
NIFTY 50,2015-01-30,Friday,8996.6,8804.55,8996.6,8775.6,8953.2001953125,8966.2001953125,8861.650390625,0.48500001430511475,Gap Up,+0.2% to +0.5%,False,True,False,True,True,True,False,pdh,False,False,False,8996.6,8942.5,54.1,8949.1,False,0.122,high,False,True,False,True,False,low,1,-0.7597,3.0851,,0.14970000088214874,8996.6,8917.4,79.2,8925.6,False,0.1035,high,False,True,False,True,False,low,1,-0.7398999929428101,1.7904000282287598,,0.07320000231266022
NIFTY 50,2015-02-02,Monday,8802.5,8792.55,8839.9,8751.45,8804.5498046875,8996.599609375,8775.599609375,-0.023000000044703484,Flat,0 to -0.2%,False,False,False,False,True,False,False,pdl,False,False,False,8807.8,8772.45,35.35,8788.1,False,0.4427,high,True,True,True,False,False,low,2,0.9081,0.5941,0.9179999828338623,1.9081000089645386,8807.8,8772.45,35.35,8777.25,False,0.1358,high,True,True,True,False,False,low,2,0.9081000089645386,0.5940999984741211,0.9179999828338623,1.9081000089645386
NIFTY 50,2015-02-03,Tuesday,8823.15,8757.3,8836.45,8726.65,8792.5498046875,8839.900390625,8751.4501953125,0.3479999899864197,Gap Up,+0.2% to +0.5%,False,False,False,False,True,False,False,pdl,False,False,False,8836.45,8813.05,23.4,8817.65,False,0.1966,high,False,True,False,True,False,low,1,-0.0171,3.6922,,0.9829000234603882,8836.45,8798.2,38.25,8801.2,False,0.0784,high,False,True,False,True,False,low,1,-0.010499999858438969,1.8705999851226807,,0.9894999861717224
NIFTY 50,2015-02-04,Wednesday,8789.15,8718.45,8791.45,8716.75,8757.2998046875,8836.4501953125,8726.650390625,0.36399999260902405,Gap Up,+0.2% to +0.5%,False,False,False,False,True,False,False,pdl,False,False,False,8791.45,8763.75,27.7,8771.5,False,0.2798,high,False,True,False,True,False,low,1,-0.3448,1.6967,,0.5975000262260437,8791.45,8732.55,58.9,8740.6,False,0.1367,high,False,True,False,True,False,low,1,-0.18930000066757202,0.26820001006126404,,0.810699999332428
NIFTY 50,2015-02-05,Thursday,8733.1,8704.6,8838.3,8704.3,8718.4501953125,8791.4501953125,8716.75,0.1679999977350235,Gap Up,0 to +0.2%,False,True,False,True,True,True,False,pdl,False,True,True,8741.15,8705.75,35.4,8730.65,True,0.7034,low,True,True,True,False,False,high,2,2.7443,0.041,1.0410000085830688,0.07769999653100967,8761.6,8705.75,55.85,8757.4,True,0.9248,low,True,True,True,False,False,high,2,1.3732999563217163,0.026000000536441803,1.0260000228881836,0.04919999837875366
NIFTY 50,2015-02-06,Friday,8696.85,8652.8,8725.8,8646.65,8704.599609375,8838.2998046875,8704.2998046875,-0.08900000154972076,Flat,0 to -0.2%,False,False,False,False,True,False,False,pdl,True,True,False,8724.5,8690.6,33.9,8712.4,True,0.6431,low,True,True,True,False,False,low,2,0.0383,1.2964,2.2964000701904297,1.0383000373840332,8725.8,8690.35,35.45,8696.0,False,0.1594,low,False,True,False,True,False,low,1,-0.2736000120639801,1.232699990272522,,0.7264000177383423
NIFTY 50,2015-02-09,Monday,8584.4,8521.5,8603.9,8521.15,8652.7998046875,8725.7998046875,8646.650390625,-0.7900000214576721,Gap Down,-0.5% to -1%,False,False,False,False,False,False,True,none,True,True,False,8603.9,8577.85,26.05,8585.4,False,0.2898,low,False,True,False,True,False,low,1,-0.3589,2.1765,,0.6410999894142151,8603.9,8551.95,51.95,8562.4,False,0.2012,high,False,True,False,True,False,low,1,-0.21170000731945038,0.5928999781608582,,0.7882999777793884
NIFTY 50,2015-02-10,Tuesday,8478.1,8551.9,8646.15,8472.05,8521.5,8603.900390625,8521.150390625,-0.5090000033378601,Gap Down,-0.5% to -1%,False,True,False,True,True,True,False,pdl,True,True,True,8577.9,8472.05,105.85,8546.6,True,0.7043,low,True,False,False,True,False,high,1,0.6448,-0.0274,0.972599983215332,,8612.95,8472.05,140.9,8583.95,True,0.7942,low,True,False,False,True,False,high,1,0.23559999465942383,-0.020600000396370888,0.9793999791145325,
